County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Wibaux,Montana,1017,2309,602584384.6
Sheridan,Montana,3384,4424,4231321729
Daniels,Montana,1751,3696,3593628071
Roosevelt,Montana,10425,6140,5724911380
Chouteau,Montana,5813,10354,8726194585
Liberty,Montana,2339,3763,4459575462
Dakota,Nebraska,21006,697,414069156.1
Thurston,Nebraska,6940,1018,312104844.1
Cheyenne,Nebraska,9998,3091,4495631901
Custer,Nebraska,10939,6671,4162123281
Buffalo,Nebraska,46102,2523,2245355699
Kearney,Nebraska,6489,1333,2255184015
Phelps,Nebraska,9188,1399,2195591360
Platte,Nebraska,32237,1799,1748023621
Hamilton,Nebraska,9124,1415,2209393387
Merrick,Nebraska,7845,1280,1882460662
Kimball,Nebraska,3821,2455,3437988488
Dundy,Nebraska,2008,2370,2898729414
Greeley,Nebraska,2538,1479,904339098.8
Sherman,Nebraska,3152,1475,644540242.1
Valley,Nebraska,4260,1482,833049056.6
Buena Vista,Virginia,6650,18,0
Adams,Nebraska,31364,1460,2261335955
Perkins,Nebraska,2970,2300,3743097956
Hall,Nebraska,58607,1431,2031289824
Barbour,West Virginia,16589,894,1580250.64
Putnam,West Virginia,55486,906,12666716.78
Greenbrier,West Virginia,35480,2643,55714564.84
Jackson,West Virginia,29211,1209,19459054.62
Pendleton,West Virginia,7695,1795,11377804.54
Grant,West Virginia,11937,1244,14855656.56
Randolph,West Virginia,29405,2699,57962032.42
Harlan,Nebraska,3423,1476,1062292925
Upshur,West Virginia,24254,915,5142642.8
Lewis,West Virginia,16372,1004,2399639.84
Kanawha,West Virginia,193063,2348,316050.12
Hancock,West Virginia,30676,224,321252.6
Hardy,West Virginia,14025,1518,80756660.04
Preston,West Virginia,33520,1683,12547059.96
Mingo,West Virginia,26839,1087,0
Taylor,West Virginia,16895,458,0
Nicholas,West Virginia,26233,1687,12315549.98
Pleasants,West Virginia,7605,347,1942939.76
Franklin,Nebraska,3225,1491,1180340190
Webster,Nebraska,3812,1493,1299852356
Seward,Nebraska,16750,1493,1706265927
Clay,Nebraska,6542,1484,2428759567
Jefferson,Nebraska,7547,1488,1606341117
Saline,Nebraska,14200,1490,2056961969
Nance,Nebraska,3735,1161,894410567.7
Cuming,Nebraska,9139,1490,1244971774
Morrill,Nebraska,5042,3711,4088865031
Gage,Nebraska,22311,2225,2575331572
Banner,Nebraska,690,1928,2128462401
Box Butte,Nebraska,11308,2789,3990146908
Dawes,Nebraska,9182,3611,2374125668
Scotts Bluff,Nebraska,36970,1937,2021154251
Grant,Nebraska,614,2036,340751077.1
Blaine,Nebraska,478,1860,1995500155
Logan,Nebraska,763,1478,1487266237
Garfield,Nebraska,2049,1472,1818547514
Loup,Nebraska,632,1479,1700130224
Pierce,Nebraska,7266,1485,1885221073
Wayne,Nebraska,9595,1151,504270020.8
Boone,Nebraska,5505,1792,999052120.8
Madison,Nebraska,34876,1481,1536509348
Pawnee,Nebraska,2773,1119,581121966
Keith,Nebraska,8368,2873,2722659775
Thayer,Nebraska,5228,1482,1952974660
Nuckolls,Nebraska,4500,1493,1649333476
Wheeler,Nebraska,818,1486,2096412992
York,Nebraska,13665,1497,2257546474
Antelope,Nebraska,6685,2225,2679384556
Garden,Nebraska,2057,4476,3748646574
Chase,Nebraska,3966,2321,3256481786
Frontier,Nebraska,2756,2540,1014411014
Hayes,Nebraska,967,1846,1426067524
Hitchcock,Nebraska,2908,1858,1497771784
Gosper,Nebraska,2044,1199,869359888.7
Red Willow,Nebraska,11055,1846,1317879572
Furnas,Nebraska,4959,1858,1186406844
Nemaha,Nebraska,7248,1065,764770872.7
Howard,Nebraska,6274,1484,1450186010
Rock,Nebraska,1526,2633,3521681427
Dixon,Nebraska,6000,1255,481318852.6
Washoe,Nevada,421407,16952,6948145668
Storey,Nevada,4010,683,63904295.54
Pershing,Nevada,6753,15714,11483645486
Clark,Nevada,1951269,20899,5373496787
Douglas,Nevada,46997,1902,519574603.1
Rockingham,New Hampshire,295223,1843,318561511.1
Cheshire,New Hampshire,77117,1879,35506921.9
Luna,New Mexico,25095,7675,13593527415
Curry,New Mexico,48376,3639,7530423276
Valencia,New Mexico,76569,2775,3875519925
Harding,New Mexico,695,5507,8476887226
Catron,New Mexico,3725,17987,8557921714
Cortland,New York,49336,1301,79623927.62
Yates,New York,25348,975,261724504.7
Rockland,New York,311687,512,1718271.64
Caswell,North Carolina,23719,1107,593890047.2
Person,North Carolina,39464,1056,833993252.5
Harnett,North Carolina,114678,1560,1291180299
Moore,North Carolina,88247,1836,1385849350
Scotland,North Carolina,36157,819,847000936.2
Forsyth,North Carolina,350670,1073,151877224.8
Avery,North Carolina,17797,634,0
Wilkes,North Carolina,69340,1957,77085744.32
Madison,North Carolina,20764,1170,698131.84
Polk,North Carolina,20510,618,30307960.08
Clay,North Carolina,10587,572,364649.22
Cleveland,North Carolina,98078,1221,411725044.7
Stokes,North Carolina,47401,1178,111172981.6
Rockingham,North Carolina,93643,1481,657566943
Durham,North Carolina,267587,770,271615740.4
Chatham,North Carolina,63505,1833,1466905905
Lee,North Carolina,57866,672,536347555.3
Transylvania,North Carolina,33090,987,36491413.5
Steele,North Dakota,1975,1861,2567323827
McIntosh,North Dakota,2809,2560,3011062236
Sheridan,North Dakota,1321,2603,2565239290
McKenzie,North Dakota,6360,7384,2334092747
Dunn,North Dakota,3536,5414,2761071080
Bottineau,North Dakota,6429,4425,5953593687
Towner,North Dakota,2246,2704,3985928415
Renville,North Dakota,2470,2321,3200847231
Foster,North Dakota,3343,1678,2189023759
Adams,North Dakota,2343,2568,2831741817
Bowman,North Dakota,3151,3022,3027836056
Hettinger,North Dakota,2477,2937,3327016411
Slope,North Dakota,727,3166,2441693289
Billings,North Dakota,783,2996,1196735165
Golden Valley,North Dakota,1680,2577,1138033994
Eddy,North Dakota,2385,1670,1905650766
Wells,North Dakota,4207,3344,4457112037
Dickey,North Dakota,5289,2953,4015637712
Barnes,North Dakota,11066,3926,5114289040
Griggs,North Dakota,2420,1858,2255511457
Sargent,North Dakota,3829,2244,2972254711
Cavalier,North Dakota,3993,3913,5401523021
Ransom,North Dakota,5457,2234,2896669439
Pierce,North Dakota,4357,2796,3144664720
Nelson,North Dakota,3126,2599,2915044568
Rolette,North Dakota,13937,2442,2651841523
Burke,North Dakota,1968,2928,3685270665
Divide,North Dakota,2071,3359,3985458930
Harrison,Ohio,15864,1064,24317663.62
Hocking,Ohio,29380,1095,26680676.76
Holmes,Ohio,42366,1102,126896766.5
Jackson,Ohio,33225,1092,92389858.52
Vinton,Ohio,13435,1074,30218561.68
Trumbull,Ohio,210312,1649,1400644293
Knox,Ohio,60921,1371,754905595.7
Guernsey,Ohio,40087,1369,76727368.5
Franklin,Ohio,1163414,1417,710521970.1
Madison,Ohio,43435,1200,1631763708
Pickaway,Ohio,55698,1313,1568384661
Delaware,Ohio,174214,1183,1294266759
Auglaize,Ohio,45949,1041,1327889711
Defiance,Ohio,39037,1075,1332038779
Paulding,Ohio,19614,1088,1433554639
Van Wert,Ohio,28744,1062,1393853104
Darke,Ohio,52959,1565,2032201196
Mercer,Ohio,40814,1229,1559168121
Preble,Ohio,42270,1106,1267649942
Champaign,Ohio,40097,1114,1314296902
Fayette,Ohio,29030,1052,1379563759
Logan,Ohio,45858,1208,1295878841
Miami,Ohio,102506,1061,1231670124
Shelby,Ohio,49423,1063,1305047925
Clark,Ohio,138333,1044,1076279085
Clinton,Ohio,42040,1069,1351862304
Hardin,Ohio,32058,1221,1622179461
Union,Ohio,52300,1132,1449446318
Marion,Ohio,66501,1047,1331859671
Allen,Ohio,106331,1055,1211922160
Henry,Ohio,28215,1089,1469632243
Putnam,Ohio,34499,1253,1651863030
Hancock,Ohio,74782,1382,1773517130
Seneca,Ohio,56745,1431,1862418613
Wyandot,Ohio,22615,1057,1348663862
Crawford,Ohio,43784,1042,1310365327
Huron,Ohio,59626,1284,1625954285
Morrow,Ohio,34827,1055,1284416166
Williams,Ohio,37642,1102,1318360286
Fulton,Ohio,42698,1051,1370206278
Mayes,Oklahoma,41259,1775,1833284395
Carter,Oklahoma,47557,2151,2046591570
Craig,Oklahoma,15029,1960,2687367042
Blaine,Oklahoma,11943,2413,3073527433
Garfield,Oklahoma,60580,2742,4287135236
Kingfisher,Oklahoma,15034,2358,3919062185
Stephens,Oklahoma,45048,2306,2569588752
Adair,Oklahoma,22683,1495,477840889.5
Latimer,Oklahoma,11154,1880,758017004.2
Choctaw,Oklahoma,15205,2074,2331073657
Pittsburg,Oklahoma,45837,3578,2311909121
Cimarron,Oklahoma,2475,4754,7519183421
Washington,Oklahoma,50976,1089,1286323339
Alfalfa,Oklahoma,5642,2289,3553195304
Grant,Oklahoma,4527,2614,4359810088
Dewey,Oklahoma,4810,2615,1905866833
Major,Oklahoma,7527,2479,3294236358
Beckham,Oklahoma,22119,2350,2913353164
Harmon,Oklahoma,2922,1394,2043185899
Ottawa,Oklahoma,31848,1255,1425674317
Okfuskee,Oklahoma,12191,1619,1553504049
Cotton,Oklahoma,6193,1669,2821076929
Coal,Oklahoma,5925,1366,1391128942
Johnston,Oklahoma,10957,1692,1995026619
Nowata,Oklahoma,10536,1509,2019394131
Malheur,Oregon,31313,25715,11096676258
Clatsop,Oregon,37039,2108,26358394
Washington,Oregon,529710,1888,492857753.9
Multnomah,Oregon,735334,1129,121692448.1
Clackamas,Oregon,375992,4886,612262795.6
Hood River,Oregon,22346,1398,18207736.14
Wasco,Oregon,25213,6220,1208371042
Gilliam,Oregon,1871,3184,615386860.6
Union,Oregon,25748,5292,1055926964
Wallowa,Oregon,7008,8185,521129775.1
Sherman,Oregon,1765,2148,550789621.1
Columbia,Oregon,49351,1719,153583514.5
Grant,Oregon,7445,11722,500034612
Crook,Oregon,20978,7753,2308672082
Lincoln,Oregon,46034,2542,9694560.7
Benton,Oregon,85579,1761,544879257.9
Warren,Pennsylvania,41815,2314,92795167.16
Cameron,Pennsylvania,5085,1037,42045329.66
McKean,Pennsylvania,43450,2552,210496097.5
Potter,Pennsylvania,17457,2806,14599165.9
Bradford,Pennsylvania,62622,3002,74202818.14
Pike,Pennsylvania,57369,1462,29873995.66
Mercer,Pennsylvania,116638,1766,930718514.1
Susquehanna,Pennsylvania,43356,2152,3479724
Lebanon,Pennsylvania,133568,936,295211048.7
Lawrence,Pennsylvania,91108,937,243721618.4
Chester,Pennsylvania,498886,1966,244324749.1
Wyoming,Pennsylvania,28276,1054,29083039.94
Washington,Pennsylvania,207820,2236,12291225.06
Delaware,Pennsylvania,558979,491,16047312.8
Allegheny,Pennsylvania,1223348,1925,2711095.88
Lackawanna,Pennsylvania,214437,1200,4989724.1
Sullivan,Pennsylvania,6428,1168,22079730.24
Cambria,Pennsylvania,143679,1793,54240794.5
Schuylkill,Pennsylvania,148289,2029,39927177.02
York,Pennsylvania,434972,2371,275111574.4
Cumberland,Pennsylvania,235406,1424,520284352.8
Dauphin,Pennsylvania,268100,1437,106162043.5
Westmoreland,Pennsylvania,365169,2685,30731229.48
Northumberland,Pennsylvania,94528,1222,127613065.9
Lehigh,Pennsylvania,349497,895,86040496.56
Forest,Pennsylvania,7716,1111,168011056.1
Clinton,Pennsylvania,39238,2323,75175649.82
Bristol,Rhode Island,49875,64,1692394.44
Deuel,South Dakota,4364,1650,2092837056
Hyde,South Dakota,1420,2238,3325505674
Clay,South Dakota,13864,1082,1586970235
Campbell,South Dakota,1466,1986,2270954510
Walworth,South Dakota,5438,1932,2203472862
McPherson,South Dakota,2459,2974,4201837446
Todd,South Dakota,9612,3620,3052548458
Miner,South Dakota,2389,1484,2481296925
Buffalo,South Dakota,1912,1265,1319907296
Hand,South Dakota,3431,3724,5695304538
Sanborn,South Dakota,2355,1486,2409027660
Spink,South Dakota,6415,3932,6373396332
Hanson,South Dakota,3331,1129,1666852004
Hamlin,South Dakota,5903,1383,1863404431
Hutchinson,South Dakota,7343,2111,3154115694
Clark,South Dakota,3691,2510,3318880138
McCook,South Dakota,5618,1498,2209082271
Aurora,South Dakota,2710,1849,2960533748
Douglas,South Dakota,3002,1132,1764021507
Jerauld,South Dakota,2071,1380,1945211610
Brule,South Dakota,5255,2178,2952262700
Davison,South Dakota,19504,1139,1727882876
Kingsbury,South Dakota,5148,2230,3184840804
Beadle,South Dakota,17398,3272,5163140940
Day,South Dakota,5710,2818,2984458437
Minnehaha,South Dakota,169468,2106,2397338000
Moody,South Dakota,6486,1352,2032071413
Potter,South Dakota,2329,2328,3224768672
Bennett,South Dakota,3431,3108,2515327323
Faulk,South Dakota,2364,2603,4185921709
Turner,South Dakota,8347,1599,2493441402
Edmunds,South Dakota,4071,2979,4600388525
Codington,South Dakota,27227,1865,2392346472
Brookings,South Dakota,31965,2078,2784034177
Perkins,South Dakota,2982,7507,6105330245
Marshall,South Dakota,4656,2283,2619035036
Lake,South Dakota,11200,1482,2131205265
Grant,South Dakota,7356,1787,2448696728
Jackson,South Dakota,3031,4854,3051616515
Haakon,South Dakota,1937,4729,3331228492
Hughes,South Dakota,17022,2075,2447217199
Butte,South Dakota,10110,5876,5804668444
Fall River,South Dakota,7094,4517,2531927636
Trousdale,Tennessee,7870,289,64319273.92
Lake,Tennessee,7832,509,522204742.3
Cheatham,Tennessee,39105,799,153038340.4
Marshall,Tennessee,30617,978,756683879
Polk,Tennessee,16825,1143,131644121.4
Gibson,Tennessee,49683,1569,1867898369
Crockett,Tennessee,14586,691,883351707.1
Stewart,Tennessee,13324,1282,270569921.1
Houston,Tennessee,8426,533,21872378.42
Montgomery,Tennessee,172331,1414,749733656.1
Wilson,Tennessee,113993,1515,758820213.3
Hickman,Tennessee,24690,1589,170170109.6
Humphreys,Tennessee,18538,1437,246880543.6
Benton,Tennessee,16489,1133,449890339.1
DeKalb,Tennessee,18723,853,213764587.8
Bradley,Tennessee,98963,855,389300722.1
Macon,Tennessee,22248,804,187239635.5
Hardin,Tennessee,26026,1534,700751017.7
Sequatchie,Tennessee,14112,689,137573298.3
Williamson,Tennessee,183182,1510,436858837
Carroll,Tennessee,28522,1554,1305010245
Giles,Tennessee,29485,1582,361432362.9
Coffee,Tennessee,52796,1127,1070623718
Lauderdale,Tennessee,27815,1316,1053329069
Madison,Tennessee,98294,1446,1266532002
Knox,Tennessee,432226,1360,147299045.4
Weakley,Tennessee,35021,1503,1603381561
Hardeman,Tennessee,27253,1728,1108376563
Grainger,Tennessee,22657,785,26620785.78
Haywood,Tennessee,18787,1372,1552662557
Lewis,Tennessee,12161,731,138473452.4
Robertson,Tennessee,66283,1242,1088090912
Johnson,Tennessee,18244,784,13626784.72
Marion,Tennessee,28237,1328,247572736.3
Ector,Texas,137130,2328,3929379783
Brooks,Texas,7223,2449,4383362664
Hockley,Texas,22935,2344,4031541056
Andrews,Texas,14786,3888,6917390843
Gaines,Texas,17526,3901,6725157030
Terrell,Texas,984,6117,3951861348
Webb,Texas,250304,8777,13943457400
Fort Bend,Texas,585375,2296,2896869628
San Augustine,Texas,8865,1526,760759538
Jim Hogg,Texas,5300,2959,5050196538
Collingsworth,Texas,3057,2378,2498112797
Lynn,Texas,5915,2324,3853659047
Jack,Texas,9044,2386,2180803167
Lubbock,Texas,278831,2326,3650196813
Sterling,Texas,1143,2388,2524317681
Gray,Texas,22535,2406,2332899347
Hall,Texas,3353,2329,2047028573
Brazoria,Texas,313166,3711,3054186520
Sabine,Texas,10834,1504,724601525
Liberty,Texas,75643,3053,2684496751
Palo Pinto,Texas,28111,2538,2175882723
Harris,Texas,4092459,4594,2333162084
Galveston,Texas,291309,1074,448162861.9
Panola,Texas,23796,2122,2191967747
Gregg,Texas,121730,718,254465542.9
Moore,Texas,21904,2350,3153219485
Reagan,Texas,3367,3064,4699338857
Rockwall,Texas,78337,382,415447895.8
Upton,Texas,3355,3216,4967554405
Comanche,Texas,13974,2438,2777212534
Donley,Texas,3677,2419,1823885860
Callahan,Texas,13544,2328,2833441740
Dawson,Texas,13833,2322,3766733491
Coke,Texas,3320,2388,2234161987
Fisher,Texas,3974,2350,3278644783
Concho,Texas,4087,2559,4035512368
Oldham,Texas,2052,3891,4451463154
Mitchell,Texas,9403,2335,3451972644
Hartley,Texas,6062,3785,5635145230
Kent,Texas,808,2315,2589547722
Irion,Texas,1599,2706,2769297955
Hemphill,Texas,3807,2365,2337793213
Sutton,Texas,4128,3687,3098295434
Briscoe,Texas,1637,2337,2238276954
Midland,Texas,136872,2344,4007919470
Bailey,Texas,7165,2133,3545870198
Lamb,Texas,13977,2618,4299136840
Potter,Texas,121073,2384,1905812822
Roberts,Texas,929,2377,1362982316
Randall,Texas,120725,2399,3449335299
Motley,Texas,1210,2580,2559257450
Dickens,Texas,2444,2352,2498647561
Winkler,Texas,7110,2178,3969321708
King,Texas,286,2361,2361859039
Parmer,Texas,10269,2293,3843560730
Hale,Texas,36273,2601,4275233353
Crosby,Texas,6059,2343,3237836921
Glasscock,Texas,1226,2347,3810512534
Castro,Texas,8062,2359,4009970818
Martin,Texas,4799,2353,4117246407
Cochran,Texas,3127,1994,3583655812
Cottle,Texas,1505,2316,2652103704
Borden,Texas,641,2331,3275361778
Wheeler,Texas,5410,2375,3134250299
Stephens,Texas,9630,2357,2853293651
Deaf Smith,Texas,19372,3873,6270194451
Willacy,Texas,22134,1546,2342575160
Atascosa,Texas,44911,3181,5129339396
Llano,Texas,19301,2494,2002615586
Bandera,Texas,20485,2074,632631776.1
McCulloch,Texas,8283,2797,3670470585
Knox,Texas,3719,2240,3320239768
Mills,Texas,4936,1947,1682284219
Erath,Texas,37890,2868,2732846083
Falls,Texas,17866,1992,2935404327
Blanco,Texas,10497,1830,625738873.5
Terry,Texas,12651,2296,4002922790
Howard,Texas,35012,2361,3388006875
Dimmit,Texas,9996,3454,5402908270
Menard,Texas,2242,2321,2885511647
Kerr,Texas,49625,2873,1171565721
Shackelford,Texas,3378,2394,2686776089
La Salle,Texas,6886,3831,6259590551
Stonewall,Texas,1490,2367,2892835437
Archer,Texas,9054,2400,3634033335
Garza,Texas,6461,2323,2915859639
Swisher,Texas,7854,2331,3990346954
Scurry,Texas,16921,2354,3138337248
Schleicher,Texas,3461,3426,4733819922
Ochiltree,Texas,10223,2382,3422398717
McMullen,Texas,707,2978,4695143964
Young,Texas,18550,2406,3098275649
Frio,Texas,17217,2894,4619715304
Zavala,Texas,11677,3406,5630766803
Uvalde,Texas,26405,4053,3970269198
Nolan,Texas,15216,2385,2281821377
Yoakum,Texas,7879,2074,3582419513
Eastland,Texas,18583,2406,3098126889
Limestone,Texas,23384,2432,3629656297
Somervell,Texas,8490,501,268362677.5
Coryell,Texas,75388,2734,2500987098
Taylor,Texas,131506,2363,2894211934
Hamilton,Texas,8517,2159,2176911142
Hood,Texas,51182,1118,906278116.3
Carson,Texas,6182,2396,3283892921
Kimble,Texas,4607,3250,1383897074
Gillespie,Texas,24837,2750,1491123320
Dallam,Texas,6703,3901,6571894823
Throckmorton,Texas,1641,2366,3198782187
Armstrong,Texas,1901,2371,2378021707
Hutchinson,Texas,22150,2332,2219244595
Haskell,Texas,5899,2351,3973358944
Jones,Texas,20202,2396,4159267512
Childress,Texas,7041,1838,2510706810
Runnels,Texas,10501,2728,4284006739
Floyd,Texas,6446,2566,3893121594
Baylor,Texas,3726,2354,3323792041
Mason,Texas,4012,2429,1941859143
Utah,Utah,516564,5559,1688689169
Carbon,Utah,21403,3846,811328396.8
Weber,Utah,231236,1710,537500912.6
Iron,Utah,46163,8535,6655948744
Summit,Utah,36324,4880,229952144.7
Morgan,Utah,9469,1585,62898743.3
Juab,Utah,10246,8826,6792187251
Uintah,Utah,32588,11621,3550172272
Emery,Utah,10976,11550,4991771678
Wasatch,Utah,23530,3120,182509621.9
Beaver,Utah,6629,6654,3781599332
Bennington,Vermont,37125,1765,7292548.5
Orleans,Vermont,27231,1863,53486239.6
Fairfax City,Virginia,22565,16,2346052.28
Franklin City,Virginia,8582,18,6592843.7
Emporia,Virginia,5927,18,749527.64
Smyth,Virginia,32208,1167,811596.86
Augusta,Virginia,73750,2502,354812757.7
Powhatan,Virginia,28046,676,379553220
Fluvanna,Virginia,25691,748,374492766.2
Mecklenburg,Virginia,32727,1752,1489747479
Chesterfield,Virginia,316236,1136,460394828.4
Isle of Wight,Virginia,35270,838,1022682743
Campbell,Virginia,54842,1299,235910425
Bedford,Virginia,68676,2007,20659707.36
Rockingham,Virginia,76314,2204,385958379.9
Buckingham,Virginia,17146,1514,479196464.3
Giles,Virginia,17286,938,1904860.14
Wise,Virginia,41452,1047,5643134.18
Portsmouth,Virginia,95535,90,714888.16
Martinsville,Virginia,13821,29,11938095.74
Winchester,Virginia,26203,23,57238543.88
Culpeper,Virginia,46689,994,535980382.3
Greene,Virginia,18403,410,41442064.7
Prince Edward,Virginia,23368,917,200284378.5
Roanoke,Virginia,92376,648,796163.44
Northumberland,Virginia,12330,484,518875939.4
Mathews,Virginia,8978,227,199528878.5
Halifax,Virginia,36241,2136,1168772494
Bland,Virginia,6824,927,5360258.28
Pulaski,Virginia,34872,860,28146477.34
Waynesboro,Virginia,21006,37,7570.98
Petersburg,Virginia,32420,60,39763046.3
Botetourt,Virginia,33148,1417,18860841.02
Harrisonburg,Virginia,48914,46,0
Norton,Virginia,3958,20,1003912.78
Salem,Virginia,24802,37,396421.36
Radford,Virginia,16408,28,1344088.74
Wythe,Virginia,29235,1202,15140458.36
Charlottesville,Virginia,43475,30,0
Frederick,Virginia,78305,1077,310241792.2
Clarke,Virginia,14034,459,365596863.9
Whatcom,Washington,201140,5615,772859446.1
Garfield,Washington,2266,1864,45224249.78
Lincoln,Washington,10570,6057,3073037981
Kitsap,Washington,251133,1034,93684140.54
Douglas,Washington,38431,4773,2084323565
Yakima,Washington,243231,11158,2275117655
Columbia,Washington,4078,2257,14839630.84
Island,Washington,78506,554,37842546.56
Stevens,Washington,43531,6565,661165368.9
Franklin,Washington,78163,3268,2101013208
Wahkiakum,Washington,3978,675,7229911.56
Grays Harbor,Washington,72797,5000,1104969115
Brooke,West Virginia,24069,236,484452.1
Harrison,West Virginia,69099,1081,3263250.06
Lincoln,West Virginia,21720,1130,0
Clay,West Virginia,9386,894,0
Calhoun,West Virginia,7627,726,0
Wayne,West Virginia,42481,1324,968996.8
Mercer,West Virginia,62264,1085,252319.86
Berkeley,West Virginia,104169,834,254921352
Marion,West Virginia,56418,807,0
Wirt,West Virginia,5717,600,3933068.24
Ohio,West Virginia,44443,280,44874.28
Taylor,Wisconsin,20689,2550,2713137990
Lincoln,Wisconsin,28743,2344,1769190948
Eau Claire,Wisconsin,98736,1671,1082609865
Waushara,Wisconsin,24496,1650,1603210060
Portage,Wisconsin,70019,2131,2294560437
Vilas,Wisconsin,21430,2643,1359678846
Bayfield,Wisconsin,15014,3900,2342506829
Dane,Wisconsin,488073,3203,1899589946
Marquette,Wisconsin,15404,1208,954350891.1
Iowa,Wisconsin,23687,1995,381724609.7
Washington,Wisconsin,131887,1122,799358103.6
Ashland,Wisconsin,16157,2732,1719155767
Pepin,Wisconsin,7469,638,178502804.6
Rusk,Wisconsin,14755,2411,2052844099
Calumet,Wisconsin,48971,1027,915283877.8
Shawano,Wisconsin,41949,2354,2039347129
Green Lake,Wisconsin,19051,979,680584835.6
Langlade,Wisconsin,19977,2307,1825931983
Sawyer,Wisconsin,16557,3495,2705949228
Green,Wisconsin,36842,1511,663404503.7
Lafayette,Wisconsin,16836,1642,568713927.9
Washburn,Wisconsin,15911,2207,1646343389
Kenosha,Wisconsin,166426,717,693070432.7
Price,Wisconsin,14159,3312,2570660482
Winnebago,Wisconsin,166994,1499,1139221927
Richland,Wisconsin,18021,1528,165455671.5
Wood,Wisconsin,74749,2096,2207158908
Columbia,Wisconsin,56833,2063,1511103547
Iron,Wisconsin,5916,2090,1219851351
Sublette,Wyoming,10247,12786,5056000512
Carbon,Wyoming,15885,20575,9687208125
